breadcrumbs,name,brand,listing_price,offer_price,discount,image,id,size,product_description,url
"Men,New Arrivals",,, ,,,,,,,https://www.mytheresa.com/int/en/men/new-arrivals/current-week
"Men,Shoes,Sneakers",,, , ,40% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers/high-top
"Men,Shoes,Sneakers",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers/designer-sneakers
"Men,Shoes,Sneakers",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers/low-top
"Men,Shoes",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers
"Men,Shoes",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/slippers
"Men,Shoes,Sneakers",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers/sports-sneakers
"Men,Shoes,Sneakers",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sneakers/classic-sneakers
"Men,Shoes",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/sandals-slides
"Men,Shoes,Formal shoes",,, , ,50% off,,,,,https://www.mytheresa.com/int/en/men/shoes/formal-shoes/monk-strap
"Men,Shoes,Formal shoes",,, , ,40% off,,,,,https://www.mytheresa.com/int/en/men/shoes/formal-shoes/oxford
"Men,Shoes,Formal shoes",,, , ,30% off,,,,,https://www.mytheresa.com/int/en/men/shoes/formal-shoes/brogues
"Men,Designers,Valentino Garavani,Shoes,Formal shoes,Loafers",,Rockstud Essential leather loafers, , ,40% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d4.jpg",,,"Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Item number: P00882635,True to size,Half sizes please take the next size up,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/valentino-garavani-rockstud-essential-leather-loafers-black-p00882635
